date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-04-22 00:00:00,7.3,1.5,15.1,0,,4,11.1,,1018.4,
2023-04-23 00:00:00,10.2,6.8,13.7,0,,326,11.3,,1017.3,
2023-04-24 00:00:00,10.5,5.6,17.3,6.6,,26,15.5,,1010.7,
2023-04-25 00:00:00,9.1,4.2,17.9,0,,4,8.7,,1012.7,
2023-04-26 00:00:00,5.3,-1.4,12.6,0,,314,7.6,,1015.9,
2023-04-27 00:00:00,6.3,0,14,3.2,,337,11.5,,1008.1,
2023-04-28 00:00:00,8.3,6,11,29,,243,8.8,,987.5,
2023-04-29 00:00:00,8.6,5.9,11.1,1,,298,13,,995.5,
2023-04-30 00:00:00,5.9,3.5,11.5,0.3,,292,9.7,,1012.8,
2023-05-01 00:00:00,7.9,4,12.4,1.4,,294,12.7,,1017.1,
2023-05-02 00:00:00,4.4,-0.3,13.1,0,,332,11.1,,1020.6,
2023-05-03 00:00:00,9,6.1,11.7,2.8,,346,10.7,,1011.7,
2023-05-04 00:00:00,11.4,9,15,0,,357,11.6,,1014.6,
2023-05-05 00:00:00,13,10.2,16.2,0,,352,14.5,,1017.4,
2023-05-06 00:00:00,11.2,3.5,14,1.2,,358,11.8,,1013.3,
2023-05-07 00:00:00,4.8,0,12,0,,7,8.5,,1022.2,
2023-05-08 00:00:00,6.4,2,10.7,0,,25,11.4,,1017.8,
2023-05-09 00:00:00,8.4,5.6,13,2.3,,40,15,,1020.9,
2023-05-10 00:00:00,4.9,1.7,13.3,1.3,,214,7.3,,1017.1,
2023-05-11 00:00:00,10.8,7.9,14,6.6,,313,8.9,,1012.4,
2023-05-12 00:00:00,10.4,7.5,14.6,7.5,,337,10.7,,1012.9,
2023-05-13 00:00:00,9.6,6.7,14.6,0.3,,60,12,,1008.4,
2023-05-14 00:00:00,12.2,6.5,17,2.3,,355,9.2,,1008.3,
2023-05-15 00:00:00,11.1,6.5,14.5,7.6,,10,12.1,,1004.3,
2023-05-16 00:00:00,9.2,5.7,12,4.8,,313,12,,1005.4,
2023-05-17 00:00:00,7.3,5.7,9.7,14.9,,308,13.1,,1007.3,
2023-05-18 00:00:00,6.7,2.1,11.2,28.1,,5,14.5,,1005.6,
2023-05-19 00:00:00,3,0,7,0,,308,8.5,,1018.5,
2023-05-20 00:00:00,1.7,0,7.1,0,,25,13.6,,1003.7,
2023-05-21 00:00:00,3.6,-1.2,8.2,4,,351,9.7,,998.2,
2023-05-22 00:00:00,0.9,-2.2,8.3,0,,31,14.9,,1008.2,
2023-05-23 00:00:00,3.2,-1,8,6.4,,18,10,,997.1,
2023-05-24 00:00:00,2.3,0.5,8.8,7.1,,22,14.7,,994.5,
2023-05-25 00:00:00,2.1,0.1,4.9,0,,15,13.1,,996.8,
2023-05-26 00:00:00,0.9,-1.8,4.7,0,,327,11.3,,1013.5,
2023-05-27 00:00:00,2.2,-1,6,0,,333,8.2,,1026.7,
2023-05-28 00:00:00,2.9,-0.5,7,0,,20,9.7,,1021.2,
2023-05-29 00:00:00,4.9,1.7,8,1.3,,33,13.7,,1015.7,
2023-05-30 00:00:00,9.1,5.7,15.5,8.8,,24,14.2,,1004.1,
2023-05-31 00:00:00,9.4,6,12.1,0.4,,5,14,,1009.4,
2023-06-01 00:00:00,6.5,3,12.6,0,,135,9.9,,1003.9,
2023-06-02 00:00:00,4.9,3.2,6.2,22.3,,9,12,,997.4,
2023-06-03 00:00:00,3.5,2,6,13.2,,355,9.6,,999.3,
2023-06-04 00:00:00,4.5,2,8.1,2.2,,25,9.3,,1016.7,
2023-06-05 00:00:00,4.8,2.7,9,44.1,,321,12.3,,999.9,
2023-06-06 00:00:00,6.5,5,9.5,0,,337,14.9,,1005.9,
2023-06-07 00:00:00,5,2,8,27.3,,44,12.4,,1004,
2023-06-08 00:00:00,3.3,1.8,7.8,1,,247,9.7,,987.8,
2023-06-09 00:00:00,2,-0.5,4,2.8,,21,8.1,,1007.1,
2023-06-10 00:00:00,1,-3,5,0,,338,9.4,,1023.2,
2023-06-11 00:00:00,4.3,0,9,0,,351,11.5,,1024.9,
2023-06-12 00:00:00,1.5,-2,6.7,0,,346,8.5,,1030.4,
2023-06-13 00:00:00,1.1,-2.9,7.1,0,,14,12.6,,1022.4,
2023-06-14 00:00:00,6.8,2.1,11,0,,322,14.8,,1016.9,
2023-06-15 00:00:00,4,-3,13,0,,301,10.3,,1026.9,
2023-06-16 00:00:00,-1.9,-4.1,2.6,0,,14,9.7,,1029.5,
2023-06-17 00:00:00,-1.6,-7,4,0.4,,12,10,,1018.6,
2023-06-18 00:00:00,1,-4,5.7,0,,346,8.2,,1020,
2023-06-19 00:00:00,-4.2,-8.2,1.6,0,,281,6.2,,1029.3,
2023-06-20 00:00:00,-5.2,-8.7,1.8,0.1,,334,5.3,,1017.9,
2023-06-21 00:00:00,1.2,-1,3.5,8.4,,34,9.1,,1002.5,
2023-06-22 00:00:00,7,3.1,10.7,3.5,,25,12.9,,994.1,
2023-06-23 00:00:00,4.1,0.9,8,3.8,,40,11.1,,998,
2023-06-24 00:00:00,2.7,0.4,7,3.6,,355,5.3,,1003.9,
2023-06-25 00:00:00,1.4,-0.4,7.5,4.1,,316,7.5,,998.8,
2023-06-26 00:00:00,3.9,1,6.7,4.3,,32,12.9,,1003.7,
2023-06-27 00:00:00,0.8,-1,7.3,1.3,,23,10.1,,1012.9,
2023-06-28 00:00:00,1.3,-1.3,3.6,0,,19,12.5,,1022.7,
2023-06-29 00:00:00,0.8,-1.5,4.5,1.3,,19,6.7,,1017.5,
2023-06-30 00:00:00,0.7,-1,4,0,,290,8.8,,1015,
2023-07-01 00:00:00,0.6,-2,4,1.5,,205,7.3,,1000.7,
2023-07-02 00:00:00,4.3,0.6,11.7,0,,3,11.7,,999.5,
2023-07-03 00:00:00,3.3,1.6,5.9,4.1,,16,17.2,,998.4,
2023-07-04 00:00:00,1.3,0,4.9,3.3,10,24,12.1,,1001.3,
2023-07-05 00:00:00,1.8,0.2,4,9.2,,41,17.4,,1006,
2023-07-06 00:00:00,2.4,0.1,5.9,0.1,,0,8.9,,1014.9,
2023-07-07 00:00:00,-0.1,-4.6,4.1,0,,29,10.9,,1016.9,
2023-07-08 00:00:00,-1.4,-5,2,0.7,,197,6.9,,1016.9,
2023-07-09 00:00:00,1.1,-0.7,4.6,0,,346,6.5,,1017,
2023-07-10 00:00:00,0.7,-0.3,5.1,1.3,30,233,9,,1022.7,
