FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230119;2100;0,18;;;
230119;2200;0,15;;;
230119;2300;0,1;;;
230120;0000;0,1;;;
230120;0100;0,1;;;
230120;0200;0,1;;;
230120;0300;0,1;;;
230120;0400;0,1;;;
230120;0500;0,1;;;
230120;0600;0,1;;;
230120;0700;0,1;;;
230120;0800;0,1;;;
230120;0900;0,1;;;
230120;1000;0,11;;;
230120;1100;0,1;;;
230120;1200;0,1;;;
230120;1300;0,1;;;
230120;1400;0,1;;;
230120;1500;0,1;;;
230120;1600;0,1;;;
230120;1700;0,1;;;
230120;1800;0,1;;;
230120;1900;0,1;;;
230120;2000;0,11;;;
230120;2100;0,1;;;
230120;2200;0,1;;;
230120;2300;0,1;;;
230121;0000;0,1;;;
230121;0100;0,1;;;
230121;0200;0,1;;;
230121;0300;0,1;;;
230121;0400;0,1;;;
230121;0500;0,1;;;
230121;0600;0,1;;;
230121;0700;0,1;;;
230121;0800;0,1;;;
230121;0900;0,1;;;
230121;1000;0,11;;;
230121;1100;0,11;;;
230121;1200;0,1;;;
230121;1300;0,1;;;
230121;1400;0,1;;;
230121;1500;0,1;;;
230121;1600;0,1;;;
230121;1700;0,1;;;
230121;1800;0,11;;;
230121;1900;0,11;;;
230121;2000;0,13;;;
230121;2100;0,11;;;
230121;2200;0,12;;;
230121;2300;0,1;;;
230122;0000;0,2;;;
230122;0100;0,25;;;
230122;0200;0,13;;;
230122;0300;0,11;;;
230122;0400;0,11;;;
230122;0500;0,13;;;
230122;0600;0,24;;;
230122;0700;0,1;;;
230122;0800;0,1;;;
230122;0900;0,1;;;
230122;1000;0,1;;;
230122;1100;0,1;;;
230122;1200;0,1;;;
230122;1300;0,1;;;
230122;1400;0,1;;;
230122;1500;0,1;;;
230122;1600;0,1;;;
230122;1700;0,1;;;
230122;1800;0,1;;;
230122;1900;0,1;;;
230122;2000;0,1;;;
230122;2100;0,13;;;
230122;2200;0,1;;;
230122;2300;0,15;;;
230123;0000;0,21;;;
230123;0100;0,11;;;
230123;0200;0,12;;;
230123;0300;0,1;;;
230123;0400;0,11;;;
230123;0500;0,13;;;
230123;0600;0,34;;;
230123;0700;0,18;;;
230123;0800;0,1;;;
230123;0900;0,1;;;
230123;1000;0,1;;;
230123;1100;0,1;;;
230123;1200;0,1;;;
230123;1300;0,1;;;
230123;1400;0,1;;;
230123;1500;0,1;;;
230123;1600;0,1;;;
230123;1700;0,12;;;
230123;1800;0,12;;;
230123;1900;0,12;;;
230123;2000;0,11;;;
230123;2100;0,13;;;
230123;2200;0,12;;;
230123;2300;0,1;;;
230124;0000;0,1;;;
230124;0100;0,1;;;
230124;0200;0,1;;;
230124;0300;0,1;;;
230124;0400;0,1;;;
230124;0500;0,1;;;
230124;0600;0,1;;;
230124;0700;0,13;;;
230124;0800;0,22;;;
230124;0900;0,17;;;
230124;1000;0,16;;;
230124;1100;0,2;;;
230124;1200;0,16;;;
230124;1300;0,15;;;
230124;1400;0,14;;;
230124;1500;0,18;;;
230124;1600;0,18;;;
230124;1700;;;;
230124;1800;0,33;;;
230124;1900;0,4;;;
230124;2000;0,43;;;
230124;2100;0,38;;;
230124;2200;0,25;;;
230124;2300;0,19;;;
230125;0000;0,16;;;
230125;0100;0,13;;;
230125;0200;0,11;;;
230125;0300;0,1;;;
230125;0400;0,1;;;
230125;0500;0,11;;;
230125;0600;0,13;;;
230125;0700;0,24;;;
230125;0800;0,27;;;
230125;0900;0,26;;;
230125;1000;0,23;;;
230125;1100;0,18;;;
230125;1200;0,19;;;
230125;1300;0,23;;;
230125;1400;0,21;;;
230125;1500;0,16;;;
230125;1600;0,16;;;
230125;1700;0,25;;;
230125;1800;0,29;;;
230125;1900;0,32;;;
230125;2000;0,46;;;
230125;2100;0,45;;;
230125;2200;0,3;;;
230125;2300;0,38;;;
230126;0000;0,26;;;
230126;0100;0,22;;;
230126;0200;0,16;;;
230126;0300;0,15;;;
230126;0400;0,13;;;
230126;0500;0,15;;;
230126;0600;0,22;;;
230126;0700;0,26;;;
230126;0800;0,26;;;
230126;0900;0,23;;;
230126;1000;0,28;;;
230126;1100;0,23;;;
230126;1200;0,22;;;
230126;1300;0,19;;;
230126;1400;0,17;;;
230126;1500;0,2;;;
230126;1600;0,18;;;
230126;1700;0,23;;;
230126;1800;0,23;;;
230126;1900;0,32;;;
230126;2000;0,33;;;
230126;2100;0,29;;;
230126;2200;0,26;;;
230126;2300;0,24;;;
230127;0000;0,25;;;
230127;0100;0,2;;;
230127;0200;0,16;;;
230127;0300;0,13;;;
230127;0400;0,14;;;
230127;0500;0,16;;;
230127;0600;0,21;;;
230127;0700;0,28;;;
230127;0800;0,21;;;
230127;0900;0,2;;;
230127;1000;0,19;;;
230127;1100;0,23;;;
230127;1200;0,2;;;
230127;1300;0,18;;;
230127;1400;0,14;;;
230127;1500;0,16;;;
230127;1600;0,19;;;
230127;1700;0,21;;;
230127;1800;0,27;;;
230127;1900;0,27;;;
230127;2000;0,33;;;
230127;2100;0,38;;;
230127;2200;0,29;;;
230127;2300;0,28;;;
230128;0000;0,22;;;
230128;0100;0,21;;;
230128;0200;0,18;;;
230128;0300;0,14;;;
230128;0400;0,14;;;
230128;0500;0,14;;;
230128;0600;0,13;;;
230128;0700;0,16;;;
230128;0800;0,19;;;
230128;0900;0,2;;;
230128;1000;0,2;;;
230128;1100;0,19;;;
230128;1200;0,2;;;
230128;1300;0,16;;;
230128;1400;0,13;;;
230128;1500;0,15;;;
230128;1600;0,13;;;
230128;1700;0,14;;;
230128;1800;0,14;;;
230128;1900;0,16;;;
230128;2000;0,2;;;
230128;2100;0,21;;;
230128;2200;0,25;;;
230128;2300;0,27;;;
230129;0000;0,43;;;
230129;0100;0,41;;;
230129;0200;0,23;;;
230129;0300;0,22;;;
230129;0400;0,2;;;
230129;0500;0,15;;;
230129;0600;0,19;;;
230129;0700;0,19;;;
230129;0800;0,21;;;
230129;0900;0,24;;;
230129;1000;0,2;;;
230129;1100;0,2;;;
230129;1200;0,19;;;
230129;1300;0,18;;;
230129;1400;0,14;;;
230129;1500;0,13;;;
230129;1600;0,15;;;
230129;1700;0,15;;;
230129;1800;0,14;;;
230129;1900;0,16;;;
230129;2000;0,16;;;
230129;2100;0,14;;;
230129;2200;0,12;;;
230129;2300;0,13;;;
230130;0000;0,14;;;
230130;0100;0,12;;;
230130;0200;0,11;;;
230130;0300;0,1;;;
