FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230116;1800;11;;;
230116;1900;10;;;
230116;2000;11;;;
230116;2100;8;;;
230116;2200;5;;;
230116;2300;6;;;
230117;0000;5;;;
230117;0100;4;;;
230117;0200;4;;;
230117;0300;5;;;
230117;0400;5;;;
230117;0500;16;;;
230117;0600;6;;;
230117;0700;7;;;
230117;0800;15;;;
230117;0900;9;;;
230117;1000;10;;;
230117;1100;12;;;
230117;1200;9;;;
230117;1300;6;;;
230117;1400;6;;;
230117;1500;6;;;
230117;1600;10;;;
230117;1700;8;;;
230117;1800;9;;;
230117;1900;12;;;
230117;2000;11;;;
230117;2100;17;;;
230117;2200;31;;;
230117;2300;9;;;
230118;0000;8;;;
230118;0100;5;;;
230118;0200;7;;;
230118;0300;7;;;
230118;0400;8;;;
230118;0500;31;;;
230118;0600;21;;;
230118;0700;18;;;
230118;0800;17;;;
230118;0900;7;;;
230118;1000;16;;;
230118;1100;13;;;
230118;1200;16;;;
230118;1300;14;;;
230118;1400;11;;;
230118;1500;8;;;
230118;1600;5;;;
230118;1700;4;;;
230118;1800;12;;;
230118;1900;12;;;
230118;2000;14;;;
230118;2100;32;;;
230118;2200;15;;;
230118;2300;21;;;
230119;0000;13;;;
230119;0100;20;;;
230119;0200;9;;;
230119;0300;6;;;
230119;0400;5;;;
230119;0500;13;;;
230119;0600;21;;;
230119;0700;14;;;
230119;0800;19;;;
230119;0900;19;;;
230119;1000;13;;;
230119;1100;8;;;
230119;1200;14;;;
230119;1300;12;;;
230119;1400;11;;;
230119;1500;6;;;
230119;1600;9;;;
230119;1700;9;;;
230119;1800;13;;;
230119;1900;11;;;
230119;2000;20;;;
230119;2100;23;;;
230119;2200;16;;;
230119;2300;7;;;
230120;0000;10;;;
230120;0100;5;;;
230120;0200;5;;;
230120;0300;5;;;
230120;0400;2;;;
230120;0500;5;;;
230120;0600;11;;;
230120;0700;9;;;
230120;0800;5;;;
230120;0900;8;;;
230120;1000;6;;;
230120;1100;9;;;
230120;1200;8;;;
230120;1300;8;;;
230120;1400;7;;;
230120;1500;9;;;
230120;1600;8;;;
230120;1700;9;;;
230120;1800;11;;;
230120;1900;10;;;
230120;2000;14;;;
230120;2100;11;;;
230120;2200;7;;;
230120;2300;7;;;
230121;0000;4;;;
230121;0100;4;;;
230121;0200;3;;;
230121;0300;2;;;
230121;0400;2;;;
230121;0500;2;;;
230121;0600;5;;;
230121;0700;5;;;
230121;0800;3;;;
230121;0900;6;;;
230121;1000;9;;;
230121;1100;10;;;
230121;1200;9;;;
230121;1300;5;;;
230121;1400;5;;;
230121;1500;6;;;
230121;1600;7;;;
230121;1700;7;;;
230121;1800;9;;;
230121;1900;11;;;
230121;2000;9;;;
230121;2100;9;;;
230121;2200;6;;;
230121;2300;6;;;
230122;0000;11;;;
230122;0100;18;;;
230122;0200;8;;;
230122;0300;5;;;
230122;0400;4;;;
230122;0500;11;;;
230122;0600;25;;;
230122;0700;6;;;
230122;0800;6;;;
230122;0900;5;;;
230122;1000;3;;;
230122;1100;8;;;
230122;1200;5;;;
230122;1300;3;;;
230122;1400;4;;;
230122;1500;2;;;
230122;1600;2;;;
230122;1700;3;;;
230122;1800;6;;;
230122;1900;5;;;
230122;2000;4;;;
230122;2100;7;;;
230122;2200;8;;;
230122;2300;8;;;
230123;0000;16;;;
230123;0100;8;;;
230123;0200;9;;;
230123;0300;6;;;
230123;0400;5;;;
230123;0500;17;;;
230123;0600;34;;;
230123;0700;29;;;
230123;0800;15;;;
230123;0900;9;;;
230123;1000;4;;;
230123;1100;11;;;
230123;1200;6;;;
230123;1300;8;;;
230123;1400;7;;;
230123;1500;6;;;
230123;1600;7;;;
230123;1700;8;;;
230123;1800;6;;;
230123;1900;5;;;
230123;2000;8;;;
230123;2100;14;;;
230123;2200;;;;
230123;2300;;;;
230124;0000;;;;
230124;0100;;;;
230124;0200;;;;
230124;0300;;;;
230124;0400;;;;
230124;0500;;;;
230124;0600;;;;
230124;0700;;97;;
230124;0800;;;;
230124;0900;;;;
230124;1000;;;;
230124;1100;;;;
230124;1200;;;;
230124;1300;21;;;
230124;1400;3;;;
230124;1500;6;;;
230124;1600;7;;;
230124;1700;9;;;
230124;1800;11;;;
230124;1900;13;;;
230124;2000;9;;;
230124;2100;5;;;
230124;2200;2;;;
230124;2300;1;;;
230125;0000;1;;;
230125;0100;1;;;
230125;0200;1;;;
230125;0300;1;;;
230125;0400;1;;;
230125;0500;1;;;
230125;0600;1;;;
230125;0700;;;;
230125;0800;7;;;
230125;0900;3;;;
230125;1000;1;;;
230125;1100;1;;;
230125;1200;5;;;
230125;1300;2;;;
230125;1400;1;;;
230125;1500;1;;;
230125;1600;2;;;
230125;1700;3;;;
230125;1800;15;;;
230125;1900;9;;;
230125;2000;9;;;
230125;2100;12;;;
230125;2200;7;;;
230125;2300;3;;;
230126;0000;3;;;
230126;0100;1;;;
230126;0200;1;;;
230126;0300;1;;;
230126;0400;1;;;
230126;0500;1;;;
230126;0600;5;;;
230126;0700;4;;;
230126;0800;6;;;
230126;0900;5;;;
230126;1000;7;;;
230126;1100;5;;;
230126;1200;6;;;
230126;1300;4;;;
230126;1400;2;;;
230126;1500;2;;;
230126;1600;5;;;
230126;1700;6;;;
230126;1800;6;;;
230126;1900;14;;;
230126;2000;10;;;
230126;2100;5;;;
230126;2200;2;;;
230126;2300;2;;;
230127;0000;2;;;
230127;0100;1;;;
230127;0200;1;;;
230127;0300;1;;;
230127;0400;1;;;
230127;0500;1;;;
230127;0600;1;;;
230127;0700;12;;;
230127;0800;7;;;
230127;0900;5;;;
230127;1000;3;;;
230127;1100;3;;;
230127;1200;2;;;
230127;1300;2;;;
230127;1400;3;;;
230127;1500;1;;;
230127;1600;1;;;
230127;1700;8;;;
230127;1800;8;;;
230127;1900;5;;;
230127;2000;7;;;
230127;2100;13;;;
230127;2200;10;;;
230127;2300;8;;;
230128;0000;3;;;
230128;0100;2;;;
230128;0200;4;;;
230128;0300;2;;;
230128;0400;2;;;
230128;0500;7;;;
230128;0600;6;;;
230128;0700;4;;;
230128;0800;6;;;
230128;0900;6;;;
230128;1000;4;;;
230128;1100;2;;;
230128;1200;11;;;
230128;1300;6;;;
230128;1400;;;;
230128;1500;;;5;
230128;1600;;;5;
230128;1700;;;2;
230128;1800;;;2;
230128;1900;;;4;
230128;2000;;;3;
230128;2100;;;7;
230128;2200;;;4;
230128;2300;;;5;
230129;0000;;;9;
230129;0100;;;6;
230129;0200;;;5;
230129;0300;;;5;
230129;0400;;;8;
230129;0500;;;5;
230129;0600;;;4;
230129;0700;;;5;
230129;0800;;;5;
230129;0900;;;4;
230129;1000;;;1;
230129;1100;;;5;
230129;1200;;;4;
230129;1300;;;5;
230129;1400;;;6;
230129;1500;;;3;
230129;1600;;;6;
230129;1700;;;6;
230129;1800;;;3;
230129;1900;;;5;
230129;2000;;;8;
230129;2100;;;5;
230129;2200;;;8;
230129;2300;;;4;
230130;0000;;;6;
230130;0100;;;6;
230130;0200;;;3;
230130;0300;;;3;
230130;0400;;;4;
230130;0500;;;4;
230130;0600;;;3;
230130;0700;;;3;
230130;0800;;;1;
230130;0900;;;0;
230130;1000;;;3;
230130;1100;;;5;
230130;1200;;;4;
230130;1300;;;3;
230130;1400;;;4;
230130;1500;;;6;
230130;1600;;;7;
230130;1700;;;6;
230130;1800;;;4;
230130;1900;;;5;
230130;2000;;;3;
230130;2100;;;2;
230130;2200;;;3;
230130;2300;;;4;
230131;0000;;;4;
230131;0100;;;2;
230131;0200;;;3;
230131;0300;;;6;
230131;0400;;;4;
230131;0500;;;4;
230131;0600;;;4;
230131;0700;;;4;
230131;0800;;;3;
230131;0900;;;1;
230131;1000;;;2;
230131;1100;;;3;
230131;1200;;;2;
230131;1300;;;1;
230131;1400;;;3;
230131;1500;;;4;
230131;1600;;;4;
230131;1700;;;4;
230131;1800;;;;
230131;1900;8;;;
230131;2000;14;;;
230131;2100;13;;;
230131;2200;10;;;
230131;2300;10;;;
230201;0000;6;;;
230201;0100;3;;;
230201;0200;5;;;
230201;0300;2;;;
230201;0400;4;;;
230201;0500;7;;;
230201;0600;8;;;
230201;0700;7;;;
230201;0800;8;;;
230201;0900;9;;;
230201;1000;9;;;
230201;1100;9;;;
230201;1200;5;;;
230201;1300;4;;;
230201;1400;9;;;
230201;1500;7;;;
230201;1600;9;;;
230201;1700;10;;;
230201;1800;6;;;
230201;1900;6;;;
230201;2000;7;;;
230201;2100;10;;;
230201;2200;9;;;
230201;2300;6;;;
230202;0000;4;;;
230202;0100;3;;;
230202;0200;4;;;
230202;0300;3;;;
230202;0400;4;;;
230202;0500;5;;;
230202;0600;7;;;
230202;0700;15;;;
230202;0800;9;;;
230202;0900;7;;;
230202;1000;7;;;
230202;1100;7;;;
230202;1200;6;;;
